STATUS | wrapper  | 2014/11/06 10:08:59 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/11/06 10:08:59 | Launching a JVM...
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Core / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Polymorphic Views / 1.0-SNAPSHOT
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Database Cleaner / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Squid for Java / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Email notifications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  org.sonar.INFO  Install plugins done: 116 ms
2014.11.06 10:13:10 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2014.11.06 10:13:10 INFO  org.sonar.INFO  Start components...
2014.11.06 10:13:10 INFO  o.s.j.s.AbstractDatabaseConnector  Initializing Hibernate
2014.11.06 10:13:12 INFO  o.s.s.p.UpdateCenterClient  Update center: http://update.sonarsource.org/update-center.properties (no proxy)
2014.11.06 10:13:12 INFO  o.s.s.n.NotificationService  Notification service started (delay 60 sec.)
2014.11.06 10:13:12 INFO  org.sonar.INFO  Deploy GWT plugins...
2014.11.06 10:13:12 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.libraries.LibrariesPage to /home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/deploy/gwt
2014.11.06 10:13:12 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.page.DesignPage to /home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/deploy/gwt
2014.11.06 10:13:12 INFO  org.sonar.INFO  Deploy GWT plugins done: 29 ms
2014.11.06 10:13:12 INFO  org.sonar.INFO  Load metrics...
2014.11.06 10:13:12 INFO  o.s.s.s.RegisterMetrics  cleaning alert thresholds...
2014.11.06 10:13:12 INFO  org.sonar.INFO  Load metrics done: 445 ms
2014.11.06 10:13:13 INFO  org.sonar.INFO  Register rules [findbugs/java]...
2014.11.06 10:13:13 INFO  org.sonar.INFO  Register rules [findbugs/java] done: 678 ms
2014.11.06 10:13:13 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 402 ms
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [pmd/java]...
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [pmd/java] done: 569 ms
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 21 ms
2014.11.06 10:13:14 INFO  org.sonar.INFO  Register rules [squid/java]...
2014.11.06 10:13:15 INFO  org.sonar.INFO  Register rules [squid/java] done: 158 ms
2014.11.06 10:13:15 INFO  org.sonar.INFO  Register rules [common-java/java]...
2014.11.06 10:13:15 INFO  org.sonar.INFO  Register rules [common-java/java] done: 12 ms
2014.11.06 10:13:15 INFO  o.s.s.s.RegisterRules  Removing deprecated rules
2014.11.06 10:13:15 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2014.11.06 10:13:17 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 2126 ms
2014.11.06 10:13:17 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2014.11.06 10:13:17 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 0 ms
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters...
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters done: 8 ms
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards...
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards done: 24 ms
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates...
2014.11.06 10:13:18 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates done: 2 ms
2014.11.06 10:13:18 INFO  o.s.s.s.RenameDeprecatedPropertyKeys  Rename deprecated property keys
2014.11.06 10:13:18 INFO  org.sonar.INFO  Start components done: 7713 ms
2014.11.06 10:13:18 INFO  jruby.rack  jruby 1.6.8 (ruby-1.8.7-p357) (2012-09-18 1772b40) (OpenJDK 64-Bit Server VM 1.7.0_65) [linux-amd64-java]
2014.11.06 10:13:18 INFO  jruby.rack  using a shared (threadsafe!) runtime
INFO   | jvm 1    | 2014/11/06 10:13:22 | JRuby limited openssl loaded. http://jruby.org/openssl
INFO   | jvm 1    | 2014/11/06 10:13:22 | gem install jruby-openssl for full support.
INFO   | jvm 1    | 2014/11/06 10:13:27 | 2014-11-06 10:13:27.685:INFO:oejsh.ContextHandler:started o.e.j.w.WebAppContext{/,file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/},file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server
INFO   | jvm 1    | 2014/11/06 10:13:27 | 2014-11-06 10:13:27.728:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:9000
2014.11.06 10:13:28 INFO  b.k.c.o.p.p.PolymorphicViewsChart  PolymorphicViewsChart generateImage() called!
2014.11.06 10:13:28 ERROR o.s.s.c.ChartsServlet  Generating chart be.kuleuven.cs.oss.polymorphicviews.plugin.PolymorphicViewsChart
java.lang.IllegalArgumentException: Null 'image' argument.
	at org.jfree.chart.encoders.KeypointPNGEncoderAdapter.encode(KeypointPNGEncoderAdapter.java:132) ~[jfreechart-1.0.9.jar:na]
	at org.sonar.server.charts.ChartsServlet.exportAsPNG(ChartsServlet.java:92) ~[classes/:na]
	at org.sonar.server.charts.ChartsServlet.doGet(ChartsServlet.java:66) ~[classes/:na]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:707) [javax.servlet-2.5.0.v201103041518.jar:na]
